timestamp,x,y,z
0.25,-0.2117586576655143,-0.0414943673355552,-0.2602064639384059
0.5,-0.2101458428885563,-0.04186902107873938,-0.2887080576815158
0.75,-0.20541447853122738,-0.0016318750804425652,-0.2582324917029422
1.0,0.06876000632884546,-0.04507212123512446,-0.2602064639384059
1.25,0.07554422353060164,-0.04693711398645478,-0.2690434562870042
1.5,0.08973828911901811,-0.04828776519265601,-0.280964099680041
1.75,0.11028714828428596,-0.046833124419586494,-0.2923417357264843
2.0,0.13664653281443867,-0.041450927791114894,-0.2920777896269585
2.25,0.17119249560083022,-0.027939503804474682,-0.2827420532736931
2.5,0.20160981394828736,-0.005031769785474826,-0.2650837063250914
2.75,0.2218386527663994,0.024694016567769428,-0.2535736947486086
3.0,0.22053631989426173,0.05265373993949949,-0.2501943693690074
3.25,0.2021289746555699,0.07046073724298489,-0.2493495670332041
3.5,0.18107111246892826,0.07899916415903417,-0.2486268528783712
3.75,0.15876816116543147,0.08095015541477676,-0.2482648392637126
4.0,0.14090031401484693,0.07738958068898438,-0.2486573527722954
4.25,0.126174689675674,0.06629293178997368,-0.2507748956121988
4.5,0.11415130303054932,0.051841597092431545,-0.2524831309943312
4.75,0.10376986592142748,0.035015764258640586,-0.2526124629137904
5.0,0.09354228887814164,0.018093940058799236,-0.2517887390852612
5.25,0.08452437921195358,0.0028772509449882452,-0.2512481107416151
5.5,0.08408383146179324,-0.007951783388447606,-0.2515986831611093
5.75,0.09313061406614302,-0.018286998585264135,-0.2524273701981294
6.0,0.10538964042501346,-0.0325761443704143,-0.2524464671188396
6.25,0.11756158429008909,-0.054366229774635205,-0.2541077535010683
6.5,0.12514576106178021,-0.07840227245833696,-0.2557092145129723
6.75,0.132820041130761,-0.09905067730409538,-0.2573273029289537
7.0,0.14682167788528158,-0.1084178706463178,-0.2585663351450609
7.25,0.16737206899382764,-0.10992757107112955,-0.259502819541941
7.5,0.1869608191198611,-0.10911158627619758,-0.2599034120166174
7.75,0.20724085784431337,-0.10507424638077607,-0.2599249531120707
8.0,0.22664596195351222,-0.09727241517211688,-0.2591635230525673
8.25,0.24386426307568088,-0.08614977460611224,-0.2584231715886858
8.5,0.25816036329980485,-0.07141049321679577,-0.2573396331314
8.75,0.26820977513686084,-0.05527729280344276,-0.2571385354159924
9.0,0.27301186754319334,-0.03728195040458099,-0.256188737052443
9.25,0.27331859196403696,-0.01919280577062094,-0.2529665104978001
9.5,0.2616672983902965,-0.01650492512414004,-0.2533316355244642
9.75,0.24674426468316216,-0.016856685423201467,-0.2574991974839281
10.0,0.2428494179761349,-0.017219535559431065,-0.260459409160183
10.25,0.2509644257817044,-0.017220969455609615,-0.2561185498598489
10.5,0.2562022370834799,-0.01751120113535229,-0.2498196951262143
10.75,0.2498798057984704,-0.01769261748745536,-0.2455006080058533
11.0,0.23103830343703588,-0.01764925883123727,-0.2446014243111752
11.25,0.21136365772129456,-0.017389518353092187,-0.2483671039119923
11.5,0.1969611172130117,-0.0132010366437103,-0.254788321945986
11.75,0.1947568699209632,-0.0007494104058590988,-0.2633433920672812
12.0,0.2015418207500956,0.012815771863482421,-0.2694232536923881
12.25,0.21246297523390403,0.02899151280947733,-0.2651197065445301
12.5,0.2236651853430794,0.04844636496466079,-0.2559927244812803
12.75,0.22472681617363569,0.0656975249798255,-0.2530771113776872
13.0,0.21012548829123,0.0768756908848597,-0.2516207401500501
13.25,0.19224633998528634,0.08277851074055735,-0.2501378146799866
13.5,0.17356482552961386,0.08558028177330958,-0.2493181465807825
13.75,0.15527364012888897,0.08391174334886708,-0.2485150843272486
14.0,0.13805895348909694,0.07797180641297875,-0.2488152114029512
14.25,0.12466856942089141,0.06659333034864962,-0.2509598023471539
14.5,0.11254783385664532,0.05136225046399395,-0.2525633717864773
14.75,0.10194606869653713,0.03428866710911261,-0.2525645940191017
15.0,0.09230799131544723,0.017489819273690723,-0.2515876273292063
15.25,0.08300614026745275,0.0016550035647339596,-0.2510665016385723
