timestamp,x,y,z,j.0,j.1,j.2,j.3,j.4,j.5,d_j.0,d_j.1,d_j.2,d_j.3,d_j.4,d_j.5
3.9099999999999606,0.05001284542000689,0.0016027847630174247,-0.25,0.03203649818897247,-1.0735021284202197,3.1402036422022075,-3.141592653589793,-0.5771005923855609,-1.602832824983869,0.0,0.0,0.0,0.0,0.0,0.0
3.9199999999999604,0.0500032114065674,0.0008014181183028019,-0.25,0.016025960445404053,-1.073500967745975,3.140204147455247,-3.141592653589793,-0.5771014432029649,-1.5868222872403006,0.0,0.0,0.0,0.0,0.0,0.0
3.92999999999996,0.05000000000000002,1.2246467991473533e-17,-0.25,2.4492934404725397e-16,-1.0735005803665842,3.140204315836412,-3.141592653589793,-0.5771017269537837,-1.570796326794897,0.0,0.0,0.0,0.0,0.0,0.0
3.93999999999996,0.0500032114065674,-0.000801418118302733,-0.25,-0.016025960445404053,-1.073500967745975,3.140204147455247,-3.141592653589793,-0.5771014432029649,-1.5547703663494925,0.0,0.0,0.0,0.0,0.0,0.0
3.9499999999999598,0.05001284542000689,-0.0016027847630173562,-0.25,-0.03203649818897247,-1.0735021277205998,3.1402036421165374,-3.141592653589793,-0.5771005925650021,-1.538759828605924,0.0,0.0,0.0,0.0,0.0,0.0
3.9599999999999596,0.05002890142154383,-0.0024040484638616537,-0.25,-0.0480162613093853,-1.0735040609475437,3.140202800774329,-3.141592653589793,-0.5770991756177986,-1.5227800654855113,0.0,0.0,0.0,0.0,0.0,0.0
3.9699999999999593,0.05005137837993123,-0.0032051577571654923,-0.25,-0.06395003199577332,-1.0735067654201362,3.1402016241953206,-3.141592653589793,-0.577097193741115,-1.5068462947991232,0.0,0.0,0.0,0.0,0.0,0.0
3.979999999999959,0.05008027485151606,-0.00400606118917587,-0.25,-0.0798228308558464,-1.0735102371934424,3.140200113781791,-3.141592653589793,-0.577094649557705,-1.4909734959390504,0.0,0.0,0.0,0.0,0.0,0.0
3.989999999999959,0.05011558898033193,-0.0048067073193620476,-0.25,-0.09561992436647415,-1.0735144750202856,3.1401982711466765,-3.141592653589793,-0.5770915448961516,-1.4751764024284224,0.0,0.0,0.0,0.0,0.0,0.0
3.9999999999999587,0.05015731849821836,-0.0056070447237191665,-0.25,-0.11132695525884628,-1.0735194762777045,3.1401960989264737,-3.141592653589793,-0.5770878829564076,-1.4594693715360503,0.0,0.0,0.0,0.0,0.0,0.0
4.009999999999959,0.050205460724966386,-0.006407021998071256,-0.25,-0.12692995369434357,-1.0735252347022861,3.1401935990184224,-3.141592653589793,-0.5770836676214217,-1.443866373100553,0.0,0.0,0.0,0.0,0.0,0.0
4.019999999999959,0.05026001256849073,-0.007206587761372949,-0.25,-0.14241540431976318,-1.073531746874691,3.140190774605932,-3.141592653589793,-0.5770789028460609,-1.4283809224751334,0.0,0.0,0.0,0.0,0.0,0.0
4.0299999999999585,0.050320970525028444,-0.008005690659009293,-0.25,-0.1577703207731247,-1.0735390079099965,3.1401876287543136,-3.141592653589793,-0.5770735930135481,-1.413026006021772,0.0,0.0,0.0,0.0,0.0,0.0
4.039999999999958,0.05038833067936388,-0.008804279366094505,-0.25,-0.17298226058483124,-1.0735470116935009,3.1401841649516182,-3.141592653589793,-0.5770677433124055,-1.3978140662100653,0.0,0.0,0.0,0.0,0.0,0.0
4.049999999999958,0.05046208870508019,-0.009602302590768127,-0.25,-0.1880393773317337,-1.0735557515659995,3.1401803869887672,-3.141592653589793,-0.577061359386578,-1.3827569494631629,0.0,0.0,0.0,0.0,0.0,0.0
4.059999999999958,0.05054223986483722,-0.010399709077489752,-0.25,-0.20293046534061432,-1.0735652221235217,3.140176299030763,-3.141592653589793,-0.5770544467463823,-1.3678658614542825,0.0,0.0,0.0,0.0,0.0,0.0
4.069999999999958,0.05062877901067575,-0.011196447610330774,-0.25,-0.21764494478702545,-1.073575416035073,3.1401719052565973,-3.141592653589793,-0.5770470116099707,-1.353151382007871,0.0,0.0,0.0,0.0,0.0,0.0
4.079999999999957,0.05072170058434816,-0.011992467016264007,-0.25,-0.23217293620109558,-1.0735863236646725,3.1401672100347255,-3.141592653589793,-0.577039061189743,-1.338623390593801,0.0,0.0,0.0,0.0,0.0,0.0
4.089999999999957,0.0508209986176754,-0.012787716168450584,-0.25,-0.24650532007217407,-1.0735979402737836,3.140162218542759,-3.141592653589793,-0.5770306016209829,-1.3242910067227225,0.0,0.0,0.0,0.0,0.0,0.0
4.099999999999957,0.05092666673293035,-0.01358214398952341,-0.25,-0.26063355803489685,-1.0736102553619933,3.140156935495275,-3.141592653589793,-0.5770216407240173,-1.31016276876,0.0,0.0,0.0,0.0,0.0,0.0
4.109999999999957,0.05103869814324742,-0.014375699454868142,-0.25,-0.2745499014854431,-1.073623262485759,3.14015136614095,-3.141592653589793,-0.5770121853105863,-1.2962464253094534,0.0,0.0,0.0,0.0,0.0,0.0
4.119999999999957,0.05115708565305849,-0.015168331595900026,-0.25,-0.288247287273407,-1.07363695049556,3.1401455155729536,-3.141592653589793,-0.5770022437589293,-1.2825490395214898,0.0,0.0,0.0,0.0,0.0,0.0
4.129999999999956,0.051281821658554994,-0.01595998950333789,-0.25,-0.30171939730644226,-1.0736513126920997,3.1401393896727345,-3.141592653589793,-0.5769918235138389,-1.2690769294884543,0.0,0.0,0.0,0.0,0.0,0.0
4.139999999999956,0.05141289814817643,-0.016750622330473627,-0.25,-0.3149605691432953,-1.0736663386772172,3.1401329936047713,-3.141592653589793,-0.576980932743209,-1.2558357576516015,0.0,0.0,0.0,0.0,0.0,0.0
4.149999999999956,0.05155030670312477,-0.017540179296438127,-0.25,-0.3279658555984497,-1.0736818346763464,3.1401263454435675,-3.141592653589793,-0.5769696568625565,-1.242830471196447,0.0,0.0,0.0,0.0,0.0,0.0
4.159999999999956,0.051694038497905326,-0.018328609689462955,-0.25,-0.3407308757305145,-1.0736983441331382,3.1401194140462323,-3.141592653589793,-0.5769577730263925,-1.2300654510643823,0.0,0.0,0.0,0.0,0.0,0.0
4.1699999999999555,0.051844084300893475,-0.01911586287013719,-0.25,-0.353252112865448,-1.073715304684848,3.1401122421872874,-3.141592653589793,-0.5769455208512587,-1.2175442139294488,0.0,0.0,0.0,0.0,0.0,0.0
4.179999999999955,0.05200043447492769,-0.019901888274660218,-0.25,-0.365526407957077,-1.0737328905561903,3.140104823294436,-3.141592653589793,-0.5769328318098782,-1.2052699188378198,0.0,0.0,0.0,0.0,0.0,0.0
